금리,,,,,,,환율,,,물가상승률,,
항목,중앙은행 정책 금리(%),할인율(%),시중 금리(%),예금금리(%),대출금리(%),정부채(%),USD 비율(자국화폐/US$ 기말),,,Year,Inflation Rate (%),Annual Change
1982. 06 월,,5,15.1,,,16.3,740.800 (Won/US$),,,,,
1982. 07 월,,5,13.3,,,14.5,741.300 (Won/US$),,,,,
1982. 08 월,,5,13.3,,,15,741.900 (Won/US$),,,,,
1982. 09 월,,5,13.4,,,16.4,742.900 (Won/US$),,,,,
1982. 10 월,,5,13.6,,,17.5,744.900 (Won/US$),,,,,
1982. 11 월,,5,13.8,,,17.5,744.700 (Won/US$),,,,,
1982. 12 월,,5,13.5,,,15.8,748.800 (Won/US$),,,,,
1983. 01 월,,5,13.7,,,13.7,751.500 (Won/US$),,,,,
1983. 02 월,,5,13.4,,,13.4,753.100 (Won/US$),,,,,
1983. 03 월,,5,13.7,,,12.9,763.400 (Won/US$),,,,,
1983. 04 월,,5,13.6,,,13,767.900 (Won/US$),,,,,
1983. 05 월,,5,13.2,,,13,771.100 (Won/US$),,,,,
1983. 06 월,,5,13.2,,,12.9,776.700 (Won/US$),,,,,
1983. 07 월,,5,12.7,,,12.8,783.100 (Won/US$),,,,,
1983. 08 월,,5,12.7,,,13,790.100 (Won/US$),,,,,
1983. 09 월,,5,12.6,,,13,789.300 (Won/US$),,,,,
1983. 10 월,,5,12.6,,,13,792.900 (Won/US$),,,,,
1983. 11 월,,5,12.6,,,13.1,796.900 (Won/US$),,,,,
1983. 12 월,,5,12,,,13.1,795.500 (Won/US$),,,,,
1984. 01 월,,5,11.3,,,13.9,799.300 (Won/US$),,,,,
1984. 02 월,,5,11.2,,,13.7,793.300 (Won/US$),,,,,
1984. 03 월,,5,10.8,,,13.6,791.800 (Won/US$),,,,,
1984. 04 월,,5,11.9,,,13.2,797.600 (Won/US$),,,,,
1984. 05 월,,5,11.8,,,14.1,798.300 (Won/US$),,,,,
1984. 06 월,,5,12,,,14.4,803.400 (Won/US$),,,,,
1984. 07 월,,5,12.1,,,14.4,811.400 (Won/US$),,,,,
1984. 08 월,,5,11.7,,,14.7,808.700 (Won/US$),,,,,
1984. 09 월,,5,11.4,,,14.6,815.200 (Won/US$),,,,,
1984. 10 월,,5,11.4,,,14.8,817.400 (Won/US$),,,,,
1984. 11 월,,5,10.9,,,15.2,821.100 (Won/US$),,,,,
1984. 12 월,,5,10.2,,,15.2,827.400 (Won/US$),,,,,
1985. 01 월,,5,9.1,,,15,830.600 (Won/US$),,,,,
1985. 02 월,,5,9.3,,,15,842.800 (Won/US$),,,,,
1985. 03 월,,6.75,9.7,,,15,850.300 (Won/US$),,,,,
